id;título;materia;periodicidad;modified;geo;territorial;por qué;temporal;por qué;vivo;api;tag swagger;formatos;palabras inversión;abierto;explorable;candidato
1740;Convenios;Hacienda;P1Y;2022-06-17;N;no;;sí;periodicidad P1Y;no (ratio 4,2);sí;Ayuntamiento: Convenios;api;convenio;sí;sí;no
1760;Premios y Concursos;Cultura y Ocio;-;2017-05-26;N;no;;no;;no (3389 d, sin periodicidad);sí;Ayuntamiento: Premios y Concursos;api;;sí;no;no
2040;Encuesta de Satisfacción de los Servicios Municipales;Sociedad y Bienestar;-;2021-12-27;N;no;;no;;no (1713 d, sin periodicidad);no;;ms-excel;;sí;no;no
2080;Gastos de contrato de mediación Prensa;Sector Público;P3M;2023-08-02;N;no;;sí;periodicidad P3M;no (ratio 12,6);no;;ms-excel text/csv;contrat gasto;sí;sí;no
1440;Registro de Facturas;Economía;P0DT1S;2022-06-16;N;no;;sí;tiempo real, palabra:2012;no evaluable (tiempo real);sí;Ayuntamiento: Facturas;api;factura;sí;sí;no
1681;Catálogo de Publicaciones;Educación;P0DT1S;2017-05-25;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Ayuntamiento: Catálogo de publicaciones;api;;sí;no;no
2380;Indicadores demográficos: Formación;Demografía;P1Y;2020-04-20;N;no;;sí;periodicidad P1Y;no (ratio 6,4);no;;ms-excel oasis.opendocument.spreadsheet text/csv;;sí;no;no
1960;Datos de Uso Bus y tranvía;Urbanismo e Infraestructuras;-;2018-09-12;N;no;;sí;palabra:2013;no (2915 d, sin periodicidad);no;;ms-excel;;sí;no;no
2300;Indicadores de Tráfico y Movilidad;Transporte;P0DT1S;2020-03-06;S;sí;geo=S, spatialRepresentationTypeCode;sí;tiempo real;no evaluable (tiempo real);sí;Equipamientos y movilidad: Indicadores de tráfico y movilidad;api;;sí;no;no
2000;Indicadores Demográficos: Estructura de Edad;Demografía;P1Y;2017-10-25;S;sí;geo=S;sí;periodicidad P1Y;no (ratio 8,9);no;;json ms-excel oasis.opendocument.spreadsheet text/csv;;sí;no;no
2160;Datos de uso de la Tarjeta Interbus;Urbanismo e Infraestructuras;NEVER;2018-09-27;S;sí;geo=S, spatialRepresentationTypeCode;sí;palabra:2013;no (2900 d, sin periodicidad);no;;text/csv zip;;sí;no;no
2200;Indicadores Económicos Financieros;Economía;P1Y;2019-05-14;N;no;;sí;periodicidad P1Y, palabra:evolución;no (ratio 7,3);sí;Ayuntamiento: Presupuestos;api;;sí;no;no
2280;Tiempos de Recorrido;Transporte;P0DT1S;2020-03-04;S;sí;geo=S, spatialRepresentationTypeCode;sí;tiempo real;no evaluable (tiempo real);sí;Equipamientos y movilidad: Tiempos de recorrido;api;;sí;no;no
